year,date,temp_c,feels_like,humidity,wind_kph,weather,clouds,rain_mm
2017,2017-04-23,9.13,5.82,50,25.2,few clouds,20,0
2018,2018-04-22,21.66,21.19,50,14.4,few clouds,24,0
2019,2019-04-07,13.0,12.13,68,27.4,scattered clouds,40,0
2021,2021-09-12,23.3,23.38,65,4.8,clear sky,10,0
2022,2022-04-24,15.24,14.6,68,32.2,overcast clouds,100,0
2023,2023-04-23,19.36,18.76,54,4.8,overcast clouds,95,0
2024,2024-04-21,8.41,4.85,58,25.7,overcast clouds,85,0
2025,2025-04-06,3.56,-2.64,46,40.2,overcast clouds,100,0
2026,2026-04-19,19.34,18.64,50,1.6,overcast clouds,96,0
